Title,Ingredients,Removed amounts and measurements
Italian Pizza Recipe (Make it Like a Pro!),"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '3/4 cup shredded mozzarella cheese or 2 to 3 ounces fresh mozzarella', '3 tablespoons Best Basil Pesto or Basil Cashew Pesto', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','mozzarella','pesto','flour']"
Mediterranean Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '1 teaspoon olive oil', '1 cup packed baby spinach leaves', '1 handful red onion slices', '6 Kalamata olives', '8 sundried tomatoes, packed in oil', '3/4 cup shredded mozzarella cheese', '1 ounce feta cheese', '8 fresh basil leaves', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','oil','spinach','onion','olives','tomato','mozzarella','feta','basil','salt','flour']"
Thin Crust Pizza Dough (with Video!),"['500 grams* Tipo 00 or all-purpose flour (3 1/3 cups)', '8 grams instant or active dry yeast (2 teaspoons)', '7 grams kosher salt (1 teaspoon)', '338 grams warm water (1 1/4 cups + 3 tablespoons)', '13 grams olive oil (1 tablespoon)', 'Semolina flour or cornmeal, for dusting', 'For the toppings, refer to our Homemade Pizza Recipes']","['flour','yeast','salt','water','oil','flour','for the toppings, refer to our homemade pizza recipes']"
Breakfast Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '2 eggs', '1/2 tablespoon olive oil', '1 handful thinly sliced red onion', '2 tablespoons diced green bell pepper', '2 tablespoons diced red bell pepper', '3/4 cup shredded mozzarella cheese', '1 teaspoon fennel seeds', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pizza sauce','egg','oil','onion','pepper','pepper','mozzarella','fennel','salt','flour']"
California Veggie & Avocado Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/4 red bell pepper', '1/4 yellow bell pepper', '1/4 small red onion', '8 to 10 leaves fresh basil', '1/3 cup Homemade Easy Pizza Sauce', '1 cup shredded mozzarella cheese', '4 ounces soft goat cheese', '1/2 avocado', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']","['pizza dough','pepper','pepper','onion','basil','pizza sauce','mozzarella','cheese','avocado','salt','flour']"
Pesto Pizza Recipe,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/2 cup Best Basil Pesto (or Walnut Pesto, Cashew Pesto, Vegan Pesto, or purchased pesto)', '1 handful shredded mozzarella or pizza blend', '2 Roma tomatoes', 'Parmesan cheese (grated)']","['pizza dough','pesto','mozzarella','tomato','parmesan']"
Ultimate Vegan Burrito,"['2 cups cooked Spanish Rice* or Instant Pot Spanish Rice (or 2 cups cooked rice mixed with salsa, to taste)', '2 large portobello mushroom caps', '1/2 medium red onion', '1 orange bell pepper', '2 15-ounce cans black beans, drained and rinsed', '2 tablespoons olive oil', '2 teaspoons cumin', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 teaspoon smoked paprika', '1 teaspoon kosher salt', '2 tablespoons lime juice', '1 avocado', '4 large flour tortillas or gluten-free tortillas', 'Sauce ideas (optional): Creamy Cilantro Sauce, Vegan Queso, Spicy Chipotle Sauce, Chipotle Cream, Spicy Mayo, Vegan Sour Cream, Cashew Cream']","['ice','mushroom','onion','pepper','beans','oil','cumin','garlic','onion','paprika','salt','lime','avocado','flour','cilantro']"
Epic Fish Tacos,"['1 pound tilapia or cod* (wild caught preferable)', '1 tablespoon chili powder', '1 teaspoon each cumin and smoked paprika (or standard paprika)', '1/2 teaspoon each garlic powder and onion powder', '1 teaspoon kosher salt, for seasoning', '3 cups shredded red cabbage (or a mix of red and green cabbage)', '1 shredded or grated carrot (optional)', '1 green onion', '2 1/2 tablespoons lime juice', '1/4 teaspoon each celery salt and kosher salt (or all kosher salt)', 'Fish Taco Sauce (or Cilantro Lime Crema, Spicy Mayo, or Chipotle Sauce)', '8 corn tortillas', 'Chopped cilantro, for serving', 'Lime wedges, for serving (optional)']","['cod','chili','cumin','garlic','salt','cabbage','carrot','onion','lime','celery','cilantro','corn','cilantro','lime']"
Vegan Fajitas (on a Sheet Pan!),"['1 white onion', '2 bell peppers', '1 head cauliflower', '1 portobello mushroom', '2 tablespoons olive oil', '1 tablespoon chili powder', '1 teaspoon cumin', '1 teaspoon smoked paprika (or regular)', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 teaspoon kosher salt', '2 ripe avocados', '1 lime', '1/2 teaspoon kosher salt', 'Fresh cilantro', '8 tortillas (flour or corn)', '1 15-ounce can vegetarian refried beans or homemade refried beans']","['onion','pepper','cauliflower','mushroom','oil','chili','cumin','paprika','garlic','onion','salt','avocado','lime','salt','cilantro','flour','beans']"
Easy Egg Tacos (in 5 Minutes!),"['4 eggs', '1/2 tablespoon chili powder', '1/2 tablespoon garlic powder', '1/2 tablespoon cumin', '1/4 teaspoon kosher salt', '1/2 tablespoon olive oil', '4 taco-sized flour tortillas or corn tortillas', 'Pico de gallo or salsa fresca', '1 handful thinly sliced red onion', 'Torn cilantro leaves', 'Hot sauce']","['egg','chili','garlic','cumin','salt','oil','flour','pico de gallo','onion','cilantro','hot sauce']"
Easy Tilapia Fish Tacos,"['1 pound tilapia* (wild caught preferable)', '2 tablespoons homemade Fish Taco Seasoning or Fajita Seasoning (without salt)', '1 teaspoon kosher salt', '3 cups shredded red cabbage (or a mix of red and green cabbage)', '1 shredded or grated carrot (optional)', '1 green onion', '2 tablespoons lime juice', '1/4 teaspoon celery salt (or substitute kosher salt)', '1 recipe Fish Taco Sauce (or Cilantro Lime Ranch, Chipotle Sauce or sour cream mixed with hot sauce)', '8 tortillas', 'Chopped cilantro, for serving']","['tilapia','fajita seasoning','salt','cabbage','carrot','onion','lime','celery','cilantro','tortilla','cilantro']"
Easy Grilled Fish Tacos,"['1 pound* tilapia or cod fillets, (wild caught if possible)', '1 tablespoon olive oil', '2 tablespoons homemade fajita seasoning (without salt)', '1 teaspoon kosher salt', '4 cups shredded green cabbage', '2 tablespoons lime juice', 'Pico de gallo, storebought or homemade', '1 recipe Fish Taco Sauce (or Cilantro Lime Crema, Chipotle Sauce or Spicy Mayo)', '8 tortillas', 'Chopped cilantro, for serving', 'Optional toppings: chopped avocado, queso fresco or feta cheese crumbles']","['cod','oil','fajita seasoning','salt','cabbage','lime','pico de gallo','cilantro','tortilla','cilantro','avocado']"
Crispy Avocado Tacos,"['1 recipe Baked Avocado Fries', '15-ounce can black beans', '1 teaspoon adobo sauce from a can of chipotle chili peppers (optional)', '1/2 teaspoon cumin', '1 teaspoon chili powder', '1/2 teaspoon kosher salt', '1 romaine head', '1 cup pico de gallo (storebought or homemade)', '8 flour or corn tortillas', '6 tablespoons mayonnaise (or vegan mayo or cashew cream)', '1 1/2 tablespoons lime juice', '1 1/2 tablespoons chopped cilantro', '1/4 teaspoon cumin', '1/4 teaspoon garlic powder', '1/8 teaspoon kosher salt']","['avocado','beans','adobo sauce','cumin','chili','salt','romaine','pico de gallo','flour','cream','lime','cilantro','cumin','garlic','salt']"
Best Jackfruit Tacos,"['2 15-ounce cans green jackfruit in water or brine', '1/2 cup minced yellow onion', '3 cloves garlic', '2 tablespoons extra virgin olive oil', '1 to 1 1/2 tablespoons adobo sauce (from 1 can chipotle peppers in adobo)', '2 tablespoons cocoa powder', '2 tablespoons tomato paste', '2 teaspoons ground cumin', '1 teaspoon oregano', '1/4 teaspoon kosher salt', '1/2 cup water', '8 tortillas (or more small street-style tortillas)', 'Chopped romaine', 'Fresh cilantro', 'Salsa Fresca or any fresh salsa', 'Refried beans, to serve on the side* (canned, Homemade Refried Beans, Instant Pot refried beans or Refried Black Beans)']","['water','onion','clove','gin','adobo sauce','cocoa','tomato','cumin','oregano','salt','water','tortilla','romaine','cilantro','salsa','beans']"
Quick Shrimp Tacos! (Fast & Easy Dinner),"['1 recipe Creamy Shrimp Taco Sauce', '2 cups thinly sliced green cabbage', '1/4 small red onion', '1 garlic clove', '1 pound large shrimp, thawed and deveined (peeled or unpeeled)', '1 tablespoon Old Bay seasoning (purchased or homemade)', '1 teaspoon cumin', '1/8 teaspoon kosher salt', '2 tablespoons butter', '2 limes, cut into wedges, divided', '8 tortillas', 'Cilantro, for garnish']","['cream','cabbage','onion','garlic','shrimp','old bay seasoning','cumin','salt','butter','lime','tortilla','cilantro']"
Grilled Shrimp Tacos,"['1 pound large shrimp, peeled and deveined (we used 26–30 per pound size)', '1 tablespoon olive oil', '1 tablespoon cumin', '1 teaspoon garlic powder', '1/2 teaspoon chili powder', '1/4 teaspoon kosher salt', '2 cups Mexican Coleslaw (1/4 recipe; or 2 cups shredded red cabbage)', '8 tortillas', '3 tablespoons mayonnaise', '1 1/2 teaspoons Mexican hot sauce (such as Cholula)', '1 handful fresh cilantro, for garnish', '2 limes, cut into wedges, for serving']","['shrimp','oil','cumin','garlic','chili','salt','cabbage','tortilla','mayonnaise','hot sauce','cilantro','lime']"
Cauliflower Tacos with Yum Yum Sauce,"['1 recipe Crispy Breaded Cauliflower', '15-ounce can vegetarian refried beans (or Easy Refried Black Beans or Homemade Refried Beans)', '1/2 teaspoon cumin', '2 cups red cabbage, shredded', '2 limes (1 for the cabbage & 1 to serve)', '3 tablespoons Yum Yum Sauce (use vegan mayo or substitute Spicy Chipotle Sauce)', '8 corn tortillas', 'Fresh cilantro, for garnish']","['cauliflower','beans','cumin','cabbage','lime','chipotle sauce','corn','cilantro']"
Loaded Quinoa Tacos,"['1 cup Simply Nature Organic Quinoa', '2 cups Simply Nature Organic Vegetable Broth', '3 tablespoons Simply Nature Organic Coconut Oil', '1 tablespoon each: cumin and paprika', '1 teaspoon each: garlic powder, onion powder, and oregano', '1/2 teaspoon kosher salt, divided', '2 green onions', '1 lime', '1 bell peppers (we used 1/2 red and 1/2 orange)', '4 cups Simply Nature Organic Spring Mix', 'Salsa, store bought or Salsa Fresca', 'Sour cream, spicy mayo, or cashew cream', 'Feta cheese crumbles (omit for vegan)', 'Pickled red onions, pickled radishes or pickled jalapenos (optional, made in advance)', '10 to 12 corn tortillas']","['quinoa','broth','coconut','cumin','garlic','salt','onion','lime','pepper','4 cups simply nature organic spring mix','salsa','cream','feta','onion','corn']"
Healthy Instant Pot Tacos (Plant Based!),"['4 cups Instant Pot Smoky Lentils and Rice recipe (that recipe makes 10 cups total)', '1 cup cherry tomatoes, multi-colored if desired', '1 head romaine lettuce', '1/2 small red onion', '8 corn tortillas', '1 cup salsa, a high quality brand or Salsa Fresca', '1/2 cup feta crumbles (omit for vegan)', 'Fresh cilantro, for garnish', 'Other ideas for sauces: Cilantro drizzle (vegan), Chipotle cashew cream (vegan), Avocado cream, Vegan Sour Cream, or Sour Cream']","['ice','tomato','lettuce','onion','corn','salsa','feta','cilantro','avocado']"
Egg Taco with Salsa Fresca,"['8 eggs', '1/2 teaspoon kosher salt', 'Fresh ground pepper', '2 tablespoons butter', '8 tortillas', 'Heirloom Tomato Salsa or Salsa Fresca']","['egg','salt','pepper','butter','tortilla','tomato']"
Grilled Mango Tacos with Dream Sauce,"['2 garlic cloves', '2 15-ounce cans black beans', '2 tablespoons extra virgin olive oil', '1/2 teaspoon kosher salt', 'Black pepper', '2 Honey* mangos (1 cup diced)', '1 green onion', '1 cup packed cilantro leaves and tender stems', '2 tablespoons lime juice (1 lime)', '1/4 teaspoon cumin', '1/4 teaspoon kosher salt', '2 tablespoons extra virgin olive oil', '2 tablespoons water', '3 Honey* mangos', 'Extra virgin olive oil', 'Chipotle powder', 'Kosher salt', '8 tortillas', 'Sliced radishes, for the garnish', 'Torn cilantro leaves, for the garnish']","['clove','beans','gin','salt','pepper','honey','onion','cilantro','lime','cumin','salt','gin','water','honey','gin','chipotle powder','salt','tortilla','radishes','cilantro']"
Scrambled Egg & Asparagus Tacos,"['1 bunch asparagus', '1 handful chives (2 tablespoons chopped)', '1 cup Greek yogurt', '1 1/2 cups whole milk ricotta cheese', '8 eggs', '1 tablespoon butter', '8 corn tortillas', 'Kosher salt', 'Fresh ground black pepper']","['asparagus','chives','yogurt','milk','egg','butter','corn','salt','pepper']"
Easy Vegan Tacos,"['1 1/2 cups green lentils', '2 tablespoons olive oil', '1 teaspoon cumin', '1 teaspoon garlic powder', '3/4 teaspoon kosher salt', 'Fresh ground pepper', '8 One Degree sprouted organic corn tortillas', '2 green onions', '1/2 small green cabbage', 'Salsa verde (purchased or homemade)', 'Creamy Cilantro Sauce, to serve', 'Avocado or pickled jalapenos, optional']","['lentils','oil','cumin','garlic','salt','pepper','corn','onion','cabbage','salsa','cilantro','avocado']"
Spiced Chickpea Tacos with Avocado Cream,"['2 15-ounce cans chickpeas (3 cups cooked)', '1 teaspoon smoked paprika', '1 teaspoon garlic powder', '1 teaspoon dried oregano', '1 teaspoon onion powder', '1 teaspoon cumin', '1 teaspoon kosher salt', '2 tablespoons olive oil', '1 teaspoon maple syrup', 'Fresh ground pepper', '1 ripe avocado', '½ cup Greek yogurt', '1 handful cilantro', '2 tablespoons lime juice (1 lime)', '1/2 jalapeno, chopped and seeded', '1/2 teaspoon kosher salt', '1 small garlic clove', '2 cups red cabbage, shredded', '2 tablespoons lime', '1/4 teaspoon kosher salt', '8 corn tortillas']","['peas','paprika','garlic','oregano','onion','cumin','salt','oil','tea','pepper','avocado','yogurt','cilantro','lime','jalapeno','salt','garlic','cabbage','lime','salt','corn']"
Refried Bean Tacos,"['1 recipe Easy Refried Black Beans or Homemade Refried Beans (or 1 1/2 cups Instant Pot Refried Beans)', '2 cups shredded green cabbage', '1/2 red bell pepper', '1/2 yellow bell pepper', '2 tablespoons fresh lime juice (1 lime)', '1/4 teaspoon kosher salt', 'Fresh ground black pepper', '8 One Degree Organics sprouted corn tortillas', '1 large handful cilantro leaves', '1 recipe Vegan Sour Cream or Cashew Cream (or substitute 1 cup sour cream for non-vegan option)', '1 tablespoon adobo sauce (from 1 can chipotle peppers in adobo sauce)']","['beans','cabbage','pepper','pepper','lime','salt','pepper','corn','cilantro','cream','adobo sauce']"
Grilled Vegetable Healthy Tacos,"['1 1/4 cups brown lentils (8 ounces)', '1 tablespoon olive oil', '2 tablespoons ketchup', '1 tablespoon chili powder', '1/2 tablespoon ground cumin', '1/2 teaspoon each paprika, garlic powder, onion powder, and oregano', '1/2 teaspoon kosher salt', '1/2 teaspoon black pepper', '1 pinch crushed red pepper flakes (or more, depending on your spice tolerance)', '1 summer squash', '1 zucchini', '1 onion', 'Olive oil', 'Kosher salt', 'Pepper', 'Tortillas (make your own, or purchase them)', 'Pickled red onions', 'Chili lime sour cream, Cashew cream, Chipotle sauce, or Creamy cilantro sauce']","['lentils','oil','ketchup','chili','cumin','garlic','salt','tea','pepper','squash','zucchini','onion','oil','salt','pepper','tortilla','onion','cilantro']"
BBQ Bean Tacos with Pineapple Salsa,"['2 15-ounce cans pinto beans', '2 tablespoons Dijon mustard', '1 tablespoon maple syrup', '3/4 cup organic ketchup (or with natural sugars)', '1/2 teaspoon garlic powder', '1/2 teaspoon chili powder', '3/4 teaspoon kosher salt, divided', '20-ounce can (11/2 cups) pineapple chunks packed in juice* (or substitute Mango Salsa)', '1/4 cup minced red onion', '1/4 cup finely chopped cilantro, plus additional for garnish', '1 small green cabbage', '3 radishes', '1 lime (wedges for squeezing)', 'Tortillas, for serving']","['beans','dijon mustard','maple syrup','ketchup','garlic','chili','salt','apple','onion','cilantro','cabbage','radishes','lime','tortilla']"
Chickpea & Veggie Tacos,"['1 1/2 cups cooked chickpeas, drained and rinsed', 'Extra-virgin olive oil, for drizzling', '1/2 garlic clove, minced', '1/4 teaspoon cumin', '4 medium carrots', '8 corn tortillas, grilled or warmed', '1 mango', '3 radishes', 'Few handfuls of cilantro leaves, stems reserved', 'Sriracha, for serving', 'Sea salt and freshly ground black pepper', '1 serrano pepper, thinly sliced (optional)', '7 ounces Greek yogurt', '2/3 cup reserved cilantro stems', '2 scallions, chopped', '1/2 garlic clove', '1/2 teaspoon dried coriander', 'Juice of 1 lime', '1 tablespoon + 1 teaspoon olive oil', 'Sea salt and freshly ground black pepper', '1/2 teaspoon honey']","['peas','gin','garlic','cumin','carrot','corn','mango','radishes','cilantro','sriracha','salt','pepper','yogurt','cilantro','scallions','garlic','coriander','lime','oil','salt','honey']"
Tofu Tacos with Chipotle Sauce,"['15 ounces firm tofu (organic if possible)', '2 tablespoons reduced sodium soy sauce', '1 ½ tablespoons maple syrup', '1 tablespoon Mexican hot sauce (such as Cholula)', '1 tablespoon apple cider vinegar', '1 ½ tablespoons olive oil', '1 teaspoon cumin', '1/2 teaspoon kosher salt, divided', '1 recipe Spicy Chipotle Sauce', '½ head red cabbage', '½ yellow pepper', '½ orange pepper', '2 cups spinach leaves', '8 6-inch corn tortillas', 'Cilantro, for garnish']","['tofu','soy sauce','maple syrup','hot sauce','apple','oil','cumin','salt','chipotle sauce','cabbage','pepper','orange','spinach','corn','cilantro']"
Tacos Rancheros Recipe,"['1 green pepper', '1 yellow onion', '4 cloves garlic', '1/2 tablespoon olive oil', '1 dried ancho chili', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '½ tablespoon ground chipotle pepper', '28-ounce can diced tomatoes', '1/4 cup apple cider vinegar', '1/2 small red cabbage', '8 radishes', '1/4 cup fresh cilantro', '3 limes', '1 avocado (optional)', '1/2 tablespoon butter', '8 eggs', '1/2 cup queso fresco crumbles (or substitute feta crumbles)', '8 corn tortillas', 'Kosher salt', 'Fresh ground black pepper']","['pepper','onion','clove','oil','chili','oregano','cumin','pepper','tomato','apple','cabbage','radishes','cilantro','lime','avocado','butter','egg','feta','corn','salt','pepper']"
Lentil Tacos,"['1 1/4 cups brown lentils (8 ounces)', '3 1/2 tablespoons homemade taco seasoning mix', '1 red onion', '2 cloves garlic', '1 tablespoon olive oil', '1 1/2 tablespoons ketchup', '8 to 12 whole grain or corn tortillas', 'Toppings of your choice: Lettuce, fresh tomatoes, shredded cheese, salsa, sour cream, or vegan sour cream']","['lentils','taco','onion','clove','oil','ketchup','corn','cream']"
Superfood Veggie Quesadilla,"['1/2 cup mashed sweet potato (about 1 medium)', '4 cups spinach', '1 teaspoon olive oil', '1/4 teaspoon garlic powder', '1/4 teaspoon cumin', '1/2 cup black beans', '4 8-inch flour or corn tortillas, like our Homemade Spinach Tortillas', '4 slices Applegate Naturals American-Style Colby Cheese', 'Kosher salt']","['potato','spinach','oil','garlic','cumin','beans','flour','apple','salt']"
